Position,Name,Number,Team,Activated,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceptionPercentage,ReceivingYardsPerTarget,Fumbles,FumblesLost
WR,Jaylen Waddle,17,MIA,3,3,1.3,-2.2,-2.2,0.0,17.9,13.4,235.0,19.6,0.0,83.9,14.7,0.0,0.0
WR,Rashod Bateman,7,BAL,3,3,0.0,0.0,0.0,0.0,10.1,8.8,66.0,10.5,0.0,87.1,8.3,0.0,0.0
WR,Jakobi Meyers,16,LV,3,3,0.0,0.0,0.0,0.0,29.1,20.1,222.7,12.4,2.5,77.4,9.6,0.0,0.0
WR,Brandon Aiyuk,11,SF,3,3,0.0,0.0,0.0,0.0,22.4,19.0,358.1,21.0,2.5,95.1,17.9,0.0,0.0
WR,Chase Claypool,10,CHI,3,3,0.0,0.0,0.0,0.0,15.7,5.0,57.1,14.3,1.3,32.0,4.5,0.0,0.0
WR,DJ Chark Jr.,17,CAR,3,3,0.0,0.0,0.0,0.0,16.8,8.8,144.4,20.6,1.3,52.3,10.8,0.0,0.0
WR,Trenton Irwin,16,CIN,3,3,0.0,0.0,0.0,0.0,1.3,1.3,19.0,19.0,0.0,111.9,19.0,1.3,0.0
WR,John Metchie III,8,HOU,3,3,0.0,0.0,0.0,0.0,6.3,5.0,58.2,14.5,0.0,89.5,11.6,0.0,0.0
WR,Jonathan Mingo,15,CAR,3,3,0.0,0.0,0.0,0.0,21.3,10.0,71.6,10.0,0.0,47.1,4.3,0.0,0.0
WR,Lynn Bowden,5,NO,2,2,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Zay Jones,7,JAX,2,2,0.0,0.0,0.0,0.0,14.5,6.3,61.5,12.3,1.3,43.1,5.3,0.0,0.0
WR,Wan'Dale Robinson,17,NYG,2,2,1.3,8.8,8.8,0.0,12.3,10.1,68.3,8.5,0.0,91.5,6.9,0.0,0.0
WR,Cedrick Wilson Jr.,11,MIA,2,2,0.0,0.0,0.0,0.0,2.5,1.3,17.9,17.9,0.0,56.0,10.0,0.0,0.0
WR,Montrell Washington,12,KC,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Robbie Chosen,3,MIA,2,2,0.0,0.0,0.0,0.0,2.5,1.3,76.1,76.1,1.3,56.0,38.0,0.0,0.0
WR,Odell Beckham Jr.,3,BAL,2,2,0.0,0.0,0.0,0.0,8.8,6.3,73.9,14.8,0.0,79.9,10.5,0.0,0.0
WR,Kristian Wilkerson,83,LV,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Quez Watkins,16,PHI,2,2,0.0,0.0,0.0,0.0,2.5,2.5,19.0,10.6,0.0,111.9,10.6,0.0,0.0
WR,Christian Watson,9,GB,1,1,0.0,0.0,0.0,0.0,5.0,2.5,28.0,14.0,1.3,56.0,7.8,0.0,0.0
WR,Gunner Olszewski,89,PIT,1,1,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.0,0.0,111.9,0.0,1.3,1.3
WR,Colton Dowell,14,TEN,1,1,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Jalen Brooks,83,DAL,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Equanimeous St. Brown,19,CHI,1,1,0.0,0.0,0.0,0.0,1.3,1.3,23.5,23.5,0.0,111.9,23.5,0.0,0.0
WR,Mitchell Tinsley,86,WAS,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Amari Rodgers,3,IND,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Parker Washington,11,JAX,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Simi Fehoko,87,LAC,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Kayshon Boutte,80,NE,1,1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Jason Brownlee,16,NYJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,A.T. Perry,17,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Elijah Cooks,14,JAX,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
